track_id,x,y
56,837,326
57,381,465
2,1169,316
6,1112,337
19,1045,430
26,1315,301
32,1341,304
46,843,408
49,621,468
52,807,332
54,851,309
55,878,311
56,838,328
57,382,462
2,1176,314
6,1119,334
19,1045,440
26,1326,299
32,1351,302
46,856,404
49,624,467
52,802,331
54,850,308
55,876,314
56,858,376
57,384,458
2,1183,311
6,1126,332
19,1043,445
26,1337,296
32,1361,300
46,870,400
49,627,465
52,797,330
54,850,308
55,874,318
56,858,383
57,386,455
2,1190,308
6,1133,330
19,1038,452
26,1348,293
32,1371,297
46,884,395
49,630,463
52,793,328
54,848,308
55,873,321
56,854,385
57,348,554
64,834,392
2,1197,305
6,1140,327
19,1036,455
26,1359,291
32,1380,294
46,897,391
49,633,462
52,788,327
54,847,308
55,871,325
56,857,392
57,345,562
64,832,391
2,1205,302
6,1147,325
19,1032,459
26,1370,288
32,1390,292
46,911,387
49,636,460
52,784,326
54,846,308
55,869,328
56,859,399
57,348,552
64,830,390
2,1212,299
6,1155,323
19,1027,461
26,1381,286
32,1400,290
46,925,382
49,638,458
52,779,324
54,846,308
55,868,331
56,860,407
57,352,542
64,828,389
2,1219,296
6,1162,320
19,1023,464
26,1393,283
32,1410,287
46,938,378
49,642,457
52,774,323
54,845,308
55,866,334
56,863,414
57,357,535
64,827,389
69,322,538
2,1226,293
6,1169,318
19,1016,467
26,1404,281
32,1420,284
46,952,374
49,644,455
52,770,322
54,844,308
55,864,338
56,865,421
57,359,533
64,825,388
69,324,538
70,1240,285
2,1233,290
6,1176,315
19,1009,470
26,1415,278
32,1429,282
49,647,453
52,765,321
54,843,308
55,863,341
56,866,429
57,361,535
64,823,387
69,327,539
70,1245,292
2,1240,288
6,1183,313
19,1001,480
26,1426,275
32,1439,280
49,650,452
52,760,320
54,842,307
55,861,344
56,869,437
57,360,542
64,821,387
69,325,545
70,1246,309
71,1197,320
72,1161,326
2,1247,285
6,1190,311
19,1001,488
26,1437,273
52,756,318
54,841,307
55,859,347
56,871,444
57,362,547
64,819,386
69,326,552
70,1250,320
71,1196,332
72,1164,336
19,1001,492
52,751,317
54,840,307
55,857,351
56,873,451
57,366,550
64,817,385
69,329,556
70,1251,325
71,1195,336
72,1166,339
19,996,495
52,746,316
54,839,307
55,856,354
56,875,459
57,369,550
64,814,384
69,332,555
70,1253,333
71,1195,339
72,1168,341
19,993,496
52,742,315
54,838,307
55,854,357
56,877,466
57,372,551
64,812,384
69,334,555
70,1255,327
71,1195,345
72,1169,340
19,993,498
52,737,313
54,837,307
55,852,360
56,879,473
57,374,550
64,810,383
69,337,553
70,1257,326
71,1209,339
72,1172,339
75,1114,358
19,997,498
52,733,312
54,836,306
55,851,364
56,881,481
57,377,549
